participant_id,split
1-28-16_Board_of_Appeals_SLASH_1-28-16_Board_of_Appeals_DOT_mp3_00046.flac,train
07282016HFUUforum_SLASH_07-28-2016_HFUUforum_DOT_mp3_00285.flac,train
1-25-18_Board_of_Appeals_SLASH_1-25-18_Board_of_Appeals_DOT_mp3_00022.flac,train
1-18-18_City_Council_Meeting_SLASH_1-18-18_City_Council_Meeting_DOT_HD_DOT_mp3_00139.flac,train
07282016HFUUforum_SLASH_07-28-2016_HFUUforum_DOT_mp3_00390.flac,train
07282016HFUUforum_SLASH_07-28-2016_HFUUforum_DOT_mp3_00166.flac,train
1-12-16_Planning_Commission_SLASH_1-12-16_Planning_Commission_DOT_mp3_00022.flac,train
07282016HFUUforum_SLASH_07-28-2016_HFUUforum_DOT_mp3_00260.flac,train
10-1-14_City_Council_SLASH_10-1-14_City_Council_DOT_mp3_00006.flac,train
1-22_City_Council_Joint_Meeting_with_BPW_SLASH_1-22_City_Council_Joint_Meeting_with_BPW_DOT_mp3_00100.flac,train
07282016HFUUforum_SLASH_07-28-2016_HFUUforum_DOT_mp3_00239.flac,train
1-4-17_City_Council_SLASH_1-4-17_City_Council_DOT_mp3_00085.flac,train
10-1-14_City_Council_SLASH_10-1-14_City_Council_DOT_mp3_00030.flac,train
1-28-16_Board_of_Appeals_SLASH_1-28-16_Board_of_Appeals_DOT_mp3_00057.flac,train
1-18-18_City_Council_Meeting_SLASH_1-18-18_City_Council_Meeting_DOT_HD_DOT_mp3_00089.flac,train
07282016HFUUforum_SLASH_07-28-2016_HFUUforum_DOT_mp3_00250.flac,train
1-4-17_City_Council_SLASH_1-4-17_City_Council_DOT_mp3_00081.flac,train
07282016HFUUforum_SLASH_07-28-2016_HFUUforum_DOT_mp3_00048.flac,train
07282016HFUUforum_SLASH_07-28-2016_HFUUforum_DOT_mp3_00282.flac,train
1-22_City_Council_Joint_Meeting_with_BPW_SLASH_1-22_City_Council_Joint_Meeting_with_BPW_DOT_mp3_00057.flac,train
1-28-16_Board_of_Appeals_SLASH_1-28-16_Board_of_Appeals_DOT_mp3_00042.flac,train
07282016HFUUforum_SLASH_07-28-2016_HFUUforum_DOT_mp3_00347.flac,train
10-10-17LivingSustainablyBPW_SLASH_10-10-17LivingSustainablyBPW_DOT_mp3_00024.flac,train
1-22_City_Council_Joint_Meeting_with_BPW_SLASH_1-22_City_Council_Joint_Meeting_with_BPW_DOT_mp3_00030.flac,train
1-18-18_City_Council_Meeting_SLASH_1-18-18_City_Council_Meeting_DOT_HD_DOT_mp3_00051.flac,train
1-28-16_Board_of_Appeals_SLASH_1-28-16_Board_of_Appeals_DOT_mp3_00006.flac,train
1-4-17_City_Council_SLASH_1-4-17_City_Council_DOT_mp3_00016.flac,train
1-6-16_City_Council_SLASH_1-6-16_City_Council_DOT_mp3_00068.flac,train
1-22_City_Council_Joint_Meeting_with_BPW_SLASH_1-22_City_Council_Joint_Meeting_with_BPW_DOT_mp3_00124.flac,train
